교량명,시도명,시군구명,도로종류,도로노선명,교량연장,교량폭,차로수,상부구조형식,준공연도,최종안전점검일자,최종안전점검결과,내진설계적용여부,내진성능확보여부,bridge_age,inspection_elapsed_days,length_width_ratio,width_per_lane,seismic_risk_flag,old_bridge_flag,long_inspection_gap_flag,priority_score,target_priority,anomaly_score,anomaly_flag,cluster
노포JCT교,경상남도,김해시,고속국도,부산외곽순환고속국도,84.0,80.8,1,라멘교,2017,2024-05-14,A,미적용,N,9,748.0,1.0396039603960396,80.8,1,0,1,35.0,Low,3.5333679,1,0
유도선(R17) 교량,인천광역시,중구,특별시도,특별시도,108.0,61.0,1,프리플렉스거더교,2016,2024-12-20,A,미적용,N,10,528.0,1.7704918032786885,61.0,1,0,0,25.0,Low,1.8049015,1,0
연평도항 북측 연도교,인천광역시,옹진군,군도,군도,481.7,5.4,1,라멘교,2013,2018-12-21,B,미적용,N,13,2719.0,89.2037037037037,5.4,1,0,1,65.0,High,1.7172066,1,2
군자10교,경기도,시흥시,기타,도시계획도로,60.0,218.0,4,기타,2016,2024-12-12,A,미적용,N,10,536.0,0.27522935779816515,54.5,1,0,0,25.0,Low,1.4089249,1,0
장당고가교,경기도,평택시,시도,시도,512.0,3.3,4,아치교,2019,2024-05-20,B,미적용,N,7,742.0,155.15151515151516,0.825,1,0,1,65.0,High,1.3573246,1,2
양산천교(양산1),경상남도,양산시,고속국도,중앙고속국도지선,693.1,3.6,1,PSCI거더교,2014,2024-12-31,B,미적용,N,12,517.0,192.52777777777777,3.6,1,0,0,55.0,High,1.3073455,1,0
남산IC RAMP-B교,경상남도,창원시 의창구,시도,시도,586.6,3.5,1,강박스거더교,2021,2024-06-30,B,미적용,N,5,701.0,167.6,3.5,1,0,0,55.0,High,1.141343,1,0
잠수교,서울특별시,용산구,특별시도,특별시도,795.0,18.0,2,강플레이트거더교,1976,2016-12-31,B,미적용,N,50,3439.0,44.166666666666664,9.0,1,1,1,85.0,High,1.0866942,1,2
지정교(농어촌도),충청북도,옥천군,기타,이도,49.6,49.6,1,라멘교,2004,2024-12-28,B,미적용,N,22,520.0,1.0,49.6,1,0,0,35.0,Low,1.0434813,1,0
교룡산육교,전북특별자치도,남원시,고속국도,광주대구고속국도,29.0,47.1,1,기타,2015,2019-12-31,A,미적용,N,11,2344.0,0.6157112526539278,47.1,1,0,1,45.0,Medium,0.8516834,1,2
인천대교,인천광역시,중구,고속국도,제2경인고속국도,11856.0,33.4,6,사장교,2009,2024-11-30,A,미적용,N,17,548.0,354.97005988023955,5.566666666666666,1,0,0,35.0,Low,0.8420126,1,0
일왕교,경기도,수원시 장안구,시도,시도,27.0,132.0,7,RC박스거더교,1989,2024-12-18,B,미적용,N,37,530.0,0.20454545454545456,18.857142857142858,1,1,0,45.0,Medium,0.84032243,1,0
오수IC1교,전북특별자치도,임실군,고속국도,순천완주고속국도,12.8,42.0,1,라멘교,2010,2024-03-18,A,미적용,N,16,805.0,0.3047619047619048,42.0,1,0,1,35.0,Low,0.8132223,1,0
일직JCTBOX6교,경기도,광명시,고속국도,제2경인고속국도,11.0,43.0,1,라멘교,1995,2024-09-25,B,미적용,N,31,614.0,0.2558139534883721,43.0,1,1,0,45.0,Medium,0.7696262,1,0
강촌IC2교,강원특별자치도,춘천시,고속국도,서울양양고속국도,26.0,39.0,1,라멘교,2009,2024-12-15,B,미적용,N,17,533.0,0.6666666666666666,39.0,1,0,0,25.0,Low,0.6635049,1,0
화성JCT RAMP-B1교,경기도,화성시,고속국도,수도권제2순환고속국도,9.5,38.7,1,기타,2021,2024-04-01,A,미적용,N,5,791.0,0.24547803617571057,38.7,1,0,1,35.0,Low,0.5896779,1,0
작동2교,울산광역시,울주군,고속국도,함양울산고속국도,13.0,182.9,2,기타,2020,2024-10-17,A,미적용,N,6,592.0,0.07107709130672499,91.45,1,0,0,25.0,Low,0.5774583,1,0
국동교,전라남도,여수시,시도,시도,12.0,38.7,1,RC슬래브교,1977,2015-12-31,D,미적용,N,49,3805.0,0.31007751937984496,38.7,1,1,1,105.0,High,0.5221137,1,2
분당천BOX교,경기도,성남시 분당구,시도,시도,30.0,101.0,8,RC박스거더교,1993,2024-09-30,C,미적용,N,33,609.0,0.297029702970297,12.625,1,1,0,60.0,High,0.48857749,1,0
일직JCTBOX5교,경기도,광명시,고속국도,제2경인고속국도,9.8,36.3,1,라멘교,1995,2024-09-25,B,미적용,N,31,614.0,0.26997245179063367,36.3,1,1,0,45.0,Medium,0.48623708,1,0
